,N,p,neighbour size,TDR,missing edges,extra edges,missing and extra edges,missing rate,extra rate,SHD,SHD rate,sd(SHD),recall,precision,F1,TPR,FPR,efficiency
pc,50,10,4,0.08230663,18.256,2.152,20.408,0.9176934,0.5707905,21.44,1.083315,0.26587292,0.8535563,0.9197738,0.8696784,0.8535563,0.004102931,62.63
pc,50,50,4,0.02007656,97.46,23.052,120.512,0.9799234,0.9204803,114.656,1.154531,0.05316778,0.9762918,0.9855751,0.9804941,0.9762918,0.000136861,1563.466
pc,50,100,4,0.01186246,197.892,53.986,251.878,0.9881375,0.9577441,234.962,1.174285,0.02764343,0.9894426,0.9924826,0.9908656,0.9894426,3.79728E-05,6338.924
pc,250,10,4,0.16218827,16.71,3.976,20.686,0.8378117,0.5537778,21.99,1.111205,0.18894283,0.9345851,0.8961008,0.9078368,0.9345851,0.009548784,108.482
pc,250,50,4,0.03201609,96.69,35.402,132.092,0.9679839,0.9169636,130.224,1.307036,0.04396742,0.9902569,0.9815997,0.9857157,0.9902569,0.000294518,1917.812
pc,250,100,4,0.01864618,196.744,81.006,277.75,0.9813538,0.9560214,269.174,1.344505,0.02238605,0.9963889,0.9908553,0.9935778,0.9963889,7.53683E-05,7412.802
pc,500,10,4,0.21206564,15.676,5.198,20.874,0.7879344,0.5521163,22.198,1.126555,0.16342883,0.9618568,0.8974328,0.9243653,0.9618568,0.01200867,163.42
pc,500,50,4,0.03699901,95.956,42.52,138.476,0.963001,0.9206236,137.144,1.379759,0.03858008,0.9951271,0.9864608,0.9906678,0.9951271,0.00026133,2261.276
pc,500,100,4,0.0224056,195.318,94.212,289.53,0.9775944,0.9547117,282.916,1.41789,0.02076719,0.9972578,0.9922893,0.994738,0.9972578,7.44536E-05,8415.306
pc,1000,10,4,0.25470114,14.83,6.624,21.454,0.7452989,0.5677162,22.556,1.144844,0.15280532,0.9764984,0.9252621,0.9475821,0.9764984,0.01093101,240.73
pc,1000,50,4,0.04643496,96.548,50.276,146.824,0.953565,0.9145889,145.476,1.440299,0.03785665,0.9962929,0.9885218,0.9923132,0.9962929,0.000259677,2827.514
pc,1000,100,4,0.02700385,194.474,108.138,302.612,0.9729962,0.9525166,296.748,1.486934,0.01872158,0.9983508,0.9936132,0.9959596,0.9983508,7.17097E-05,9732.532
hc,50,10,4,0.1371717,17.162,3.588,20.75,0.8628283,0.5721774,21.308,1.081892,0.21102336,1,0.9190138,0.9541621,1,0.006767914,103.474
hc,50,50,4,0.0545914,94.032,62.174,156.206,0.9454086,0.9198529,158.182,1.596146,0.03213422,1,0.9706958,0.9850372,1,0.000829453,4627.628
hc,50,100,4,0.03422127,193.42,158.46,351.88,0.9657787,0.9585703,354.632,1.774686,0.01609792,1,0.9833682,0.9915873,1,0.00028271,21666.726
hc,250,10,4,0.20707211,15.782,5.256,21.038,0.7929279,0.5635506,21.996,1.114179,0.16874577,1,0.901575,0.9456506,1,0.012005728,133.872
hc,250,50,4,0.04704783,95.196,51.802,146.998,0.9529522,0.9169076,148.452,1.491082,0.03589959,1,0.9743067,0.9868595,1,0.000607614,4098.284
hc,250,100,4,0.02843995,194.78,125.644,320.424,0.9715601,0.9567195,321.998,1.609118,0.01665966,1,0.9880245,0.9939542,1,0.000161135,18368.88
hc,500,10,4,0.26118058,14.654,6.598,21.252,0.7388194,0.5596469,22.39,1.139565,0.15334804,1,0.9067435,0.9486689,1,0.014734732,159.582
hc,500,50,4,0.05077204,94.582,58.216,152.798,0.949228,0.9202506,154.12,1.550821,0.03210612,1,0.9791218,0.9893648,1,0.00055403,4480.166
hc,500,100,4,0.03098935,193.602,131.996,325.598,0.9690106,0.9552802,326.93,1.638928,0.01751403,1,0.9903435,0.9951307,1,0.000136453,19150.254
hc,1000,10,4,0.3241849,13.398,8.188,21.586,0.6758151,0.5623032,23.088,1.172964,0.13633784,1,0.9020274,0.9464187,1,0.020277312,188.988
hc,1000,50,4,0.06338119,94.814,69.21,164.024,0.9366188,0.9152539,165.63,1.639487,0.03215385,1,0.9789567,0.9892946,1,0.00067678,5142.784
hc,1000,100,4,0.03742649,192.384,148.854,341.238,0.9625735,0.9521938,342.386,1.71561,0.01659162,1,0.9926429,0.9962964,1,0.000117824,21074.566
mmhc,50,10,4,0.08150778,18.274,2.15,20.424,0.9184922,0.5750833,20.566,1.039585,0.2651196,1,0.9671452,0.9808529,1,1.66E-03,213.662
mmhc,50,50,4,0.02042808,97.422,23.348,120.77,0.9795719,0.9199683,121.132,1.220475,0.05484018,1,0.9857445,0.9926805,1,1.49E-04,5481.924
mmhc,50,100,4,0.0117823,197.91,53.416,251.326,0.9882177,0.9577589,251.814,1.258808,0.02678423,1,0.9913186,0.995601,1,4.96E-05,22007.692
mmhc,250,10,4,0.15129395,16.93,3.776,20.706,0.848706,0.5592788,21.256,1.073486,0.19320515,1,0.9231809,0.9571081,1,6.66E-03,298.736
mmhc,250,50,4,0.02923723,96.972,32.632,129.604,0.9707628,0.9178532,130.32,1.307991,0.04496625,1,0.97993,0.9897187,1,2.97E-04,5907.344
mmhc,250,100,4,0.01707355,197.06,72.786,269.846,0.9829264,0.9553209,270.588,1.351539,0.0236225,1,0.9903033,0.9950981,1,7.55E-05,22928.872
mmhc,500,10,4,0.19667482,15.98,4.87,20.85,0.8033252,0.5539317,21.674,1.099338,0.16980952,1,0.9114986,0.9510986,1,1.03E-02,386.342
mmhc,500,50,4,0.03353037,96.302,39.086,135.388,0.9664696,0.9216422,136.178,1.369924,0.04049459,1,0.9814123,0.9905111,1,3.28E-04,6273.966
mmhc,500,100,4,0.02001359,195.792,84.242,280.034,0.9799864,0.9546836,280.808,1.407311,0.02176714,1,0.9912507,0.9955799,1,7.89E-05,23720.718
mmhc,1000,10,4,0.24046296,15.122,6.178,21.3,0.759537,0.564444,22.37,1.133575,0.15757165,1,0.9056752,0.9482422,1,1.37E-02,507.916
mmhc,1000,50,4,0.04326488,96.868,46.876,143.744,0.9567351,0.9146037,144.904,1.434254,0.03891395,1,0.977549,0.988528,1,4.84E-04,6850.47
mmhc,1000,100,4,0.02474083,194.928,98.3,293.228,0.9752592,0.9521792,293.998,1.473051,0.01969333,1,0.9925312,0.996233,1,7.86E-05,24786.094
pc,50,10,5,0.08307307,22.808,1.704,24.512,0.9169269,NaN,25.838,1.0412695,NaN,NaN,NaN,NaN,NaN,0.004777121,62.966
pc,50,10,6,0.08269071,27.616,1.29,28.906,0.9173093,NaN,30.698,1.0209366,NaN,NaN,NaN,NaN,NaN,0.00530812,63.458
pc,50,10,7,0.08111411,32.246,0.756,33.002,0.9188859,NaN,35.102,1.0008804,NaN,NaN,NaN,NaN,NaN,0.00665388,61.598
pc,250,10,5,0.17040153,20.678,3.522,24.2,0.8295985,0.4543669,25.876,1.0428677,0.1856584,0.9214079,0.8644374,0.8836256,0.9214079,0.012621658,119.29
pc,250,10,6,0.17058946,24.702,2.614,27.316,0.8294105,0.3396996,29.342,0.9878341,0.1800653,0.9175113,0.8296672,0.8595108,0.9175113,0.015492749,121.622
pc,250,10,7,0.16990756,28.896,1.692,30.588,0.8300924,0.2234024,33.166,0.9541885,0.1494103,0.8958815,0.7748913,0.8173589,0.8958815,0.019736772,122.476
pc,500,10,5,0.22641972,19.432,4.546,23.978,0.7735803,0.4444017,25.58,1.0249508,0.165385,0.9637762,0.8809151,0.9161333,0.9637762,0.014955658,187.874
pc,500,10,6,0.22691719,23.24,3.586,26.826,0.7730828,0.3427884,28.778,0.9608652,0.1513262,0.9550617,0.8581178,0.897236,0.9550617,0.017622889,196.09
pc,500,10,7,0.23491403,26.796,2.372,29.168,0.765086,0.2240123,31.618,0.9045636,0.1280291,0.9574684,0.8088976,0.8695898,0.9574684,0.023724909,209.816
pc,1000,10,5,0.28953659,17.652,5.782,23.434,0.7104634,0.4471488,24.92,1.0104221,0.1395469,0.9794877,0.9081494,0.9396804,0.9794877,0.014555604,306.332
pc,1000,10,6,0.30203522,20.914,4.556,25.47,0.6979648,0.3335892,27.436,0.9201089,0.1273582,0.9767417,0.8840523,0.9242275,0.9767417,0.018725638,345.092
pc,1000,10,7,0.31699452,23.784,3.146,26.93,0.6830055,0.221612,29.542,0.8499282,0.1100854,0.9759091,0.8632614,0.9114617,0.9759091,0.02232647,397.918
hc,50,10,5,0.1369522,21.472,2.822,24.294,0.8630478,NaN,25.096,1.0140202,NaN,NaN,NaN,NaN,NaN,0.009713479,102.588
hc,50,10,6,0.142748,25.816,2.09,27.906,0.857252,NaN,28.82,0.9597224,NaN,NaN,NaN,NaN,NaN,0.011093093,103.936
hc,50,10,7,0.1351741,30.346,1.312,31.658,0.8648259,NaN,32.704,0.9331584,NaN,NaN,NaN,NaN,NaN,0.012634735,100.4
hc,250,10,5,0.2218272,19.394,4.538,23.932,0.7781728,0.4515211,25.14,1.0150118,0.16173861,1,0.8809457,0.933171,1,0.015231024,140.5
hc,250,10,6,0.2238669,23.118,3.362,26.48,0.7761331,0.3360515,28.106,0.9471637,0.15819654,1,0.8430502,0.9102329,1,0.020552203,140.834
hc,250,10,7,0.2200155,27.168,2.252,29.42,0.7799845,0.2267156,31.198,0.897796,0.13719652,1,0.8237209,0.8973096,1,0.022436656,137.518
hc,500,10,5,0.2875001,17.88,5.778,23.658,0.7124999,0.4463454,25.458,1.0220527,0.14723775,1,0.8648521,0.9240973,1,0.023625654,170.282
hc,500,10,6,0.2916024,21.3,4.41,25.71,0.7083976,0.3345854,27.94,0.9339096,0.13367018,1,0.8320546,0.9037405,1,0.029268551,171.39
hc,500,10,7,0.297838,24.594,2.972,27.566,0.702162,0.2228494,30.236,0.8657878,0.11544716,1,0.8016436,0.8850853,1,0.035104848,173.992
hc,1000,10,5,0.3661153,15.726,7.19,22.916,0.6338847,0.4432907,25.156,1.0218669,0.12715742,1,0.8664252,0.925568,1,0.030808987,205.182
hc,1000,10,6,0.3846622,18.43,5.692,24.122,0.6153378,0.3310674,27.12,0.9105762,0.115424,1,0.8266717,0.9014147,1,0.041541208,213.798
hc,1000,10,7,0.393972,21.114,3.938,25.052,0.606028,0.2230842,28.756,0.8281705,0.09461269,1,0.7910467,0.8790221,1,0.051607522,218.316
mmhc,50,10,5,0.08070196,22.87,1.654,24.524,0.919298,NaN,24.752,0.9981388,NaN,NaN,NaN,NaN,NaN,0.002668805,214.56
mmhc,50,10,6,0.0809403,27.668,1.232,28.9,0.9190597,NaN,29.146,0.9695517,NaN,NaN,NaN,NaN,NaN,0.002880844,214.938
mmhc,50,10,7,0.07928268,32.308,0.744,33.052,0.9207173,NaN,33.334,0.9505533,NaN,NaN,NaN,NaN,NaN,0.003295239,211.566
mmhc,250,10,5,0.1565141,21.026,3.244,24.27,0.8434859,0.4549633,25.082,1.0104451,0.1957215,1,0.8908586,0.9378367,1,0.009875963,318.818
mmhc,250,10,6,0.15780392,25.086,2.378,27.464,0.8421961,0.3353573,28.508,0.9595613,0.184865,1,0.8604376,0.9191811,1,0.012705027,321.962
mmhc,250,10,7,0.15223612,29.512,1.536,31.048,0.8477639,0.2249848,32.088,0.9231436,0.1612831,1,0.8526312,0.9138601,1,0.012598386,321.458
mmhc,500,10,5,0.20889581,19.878,4.166,24.044,0.7911042,0.4431987,25.282,1.0127144,0.1747209,1,0.8718468,0.9270539,1,0.015473425,428.58
mmhc,500,10,6,0.20590971,23.872,3.268,27.14,0.7940903,0.34368,28.646,0.9564544,0.1613901,1,0.8449156,0.9108978,1,0.018856698,443.23
mmhc,500,10,7,0.21217509,27.592,2.132,29.724,0.7878249,0.2233362,31.55,0.902873,0.1367831,1,0.8105309,0.889051,1,0.022826192,465.038
mmhc,1000,10,5,0.26931097,18.166,5.304,23.47,0.730689,0.4431618,25.06,1.0146594,0.1438435,1,0.8714541,0.9277771,1,0.020591263,610.672
mmhc,1000,10,6,0.27690538,21.686,4.154,25.84,0.7230946,0.3322734,27.87,0.9337317,0.1324368,1,0.838875,0.9081302,1,0.026369641,671.218
mmhc,1000,10,7,0.28517673,24.898,2.816,27.714,0.7148233,0.2208502,30.34,0.8734995,0.113725,1,0.7949566,0.8807129,1,0.034199832,752.83
pc,2500,100,4,0.03069254,194.34,125.77,320.11,0.9693075,0.9534366,309.465,1.545851,0.9987006,0.99594,0.9973067,0.9987006,5.11445E-05,12229.64,0.01797501
hc,2500,100,4,0.04372221,191.705,175.375,367.08,0.9562778,0.9524235,367.94,1.837127,1,0.9953337,0.9976553,1,8.85242E-05,24034.69,0.01503916
mmhc,2500,100,4,0.02971366,194.54,119.545,314.085,0.9702863,0.9526317,314.775,1.571981,1,0.9945154,0.9972394,1,7.05971E-05,26877.12,0.01863731
pc,5000,100,4,0.03666241,193.53,135.92,329.45,0.9633376,0.9486293,311.525,1.553692,0.998538,0.9954436,0.996979,0.998538,5.93557E-05,14718.61,0.01695015
hc,5000,100,4,0.04989007,190.865,186.455,377.32,0.9501099,0.9489497,378.185,1.883734,1,0.9956345,0.997806,1,8.91673E-05,25246.19,0.0148944
mmhc,5000,100,4,0.036084,193.65,134.2,327.85,0.963916,0.9487728,328.475,1.636974,1,0.9956173,0.9977953,1,6.40569E-05,29023.24,0.01706867
pc,10000,100,4,0.03836453,193.3,144.47,337.77,0.9616355,0.9493214,308.725,1.538991,0.9981889,0.9956978,0.9969295,0.9981889,5.31817E-05,17598.56,0.01766195
hc,10000,100,4,0.05133506,190.655,192.705,383.36,0.9486649,0.9491917,384.27,1.912363,1,0.9955258,0.9977513,1,9.38555E-05,25966.38,0.01573402
mmhc,10000,100,4,0.03881603,193.2,147.85,341.05,0.961184,0.9499065,341.68,1.701033,1,0.9959604,0.9979692,1,6.46578E-05,31586.03,0.01720707
